date,name,types,size,rate,special
08-30,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',139,
,,Outdoor/Drive-up access, 10' x 15',159,
,,Outdoor/Drive-up access, 10' x 20',199,
date,name,types,size,rate,special
08-30,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$179,First Month Free
,,Drive-Up Access,10' x 20',$228,First Month Half Off
,,Drive-Up Access,10' x 30',$309,First Month Half Off
,,Drive-Up Access,10' x 20',,
date,name,types,size,rate,special
08-30,A Storage Inn Cave Springs,,,,
,,Outside,5 x 6,$36,"
$30WebSpecial
FirstSixMonths
"
,,Outside,6 x 12,$74,"
$47WebSpecial
FirstSixMonths
"
,,Outside,10 x 10,$106,"
$75WebSpecial
FirstSixMonths
"
,,Outside,10 x 12,$114,"
$89WebSpecial
FirstSixMonths
"
,,Outside,10 x 14,$115,"
$96WebSpecial
FirstSixMonths
"
,,Outside,10 x 16,$147,"
$105WebSpecial
FirstSixMonths
"
,,Outside,10 x 20,$196,"
$123WebSpecial
FirstSixMonths
"
,,Outside,10 x 25,$246,"
$150WebSpecial
FirstSixMonths
"
,,Outside,10 x 30,$53,"
"
,,Outside,10 x 30,none,"
$54WebSpecial
FirstSixMonths
"
date,name,types,size,rate,special
08-30,Public Storage,,,,
,,Outside,8' x 10',$97/mo.,$1^1st Month1st Month
,,Outside,10' x 10',$83.50/mo.,$58/mo.Online Special^$64 In-store
,,Outside,10' x 20',$169/mo.,$97/mo.Online Special^$106 In-store1st Month
date,name,types,size,rate,special
08-30,Life Storage,,,,
,,Outside,5x5,39, 50% Off Next Month!
,,Outside,10x5,59,none
,,Outside,10x10,105,none
,,Outside,10x15,142,none
,,Outside,10x30,245,none
date,name,types,size,rate,special
08-30,Extra Space,,,,
,,Drive-Up Access,5' x 5',$39,Act fast:1 unit left!
,,Drive-Up Access,10' x 15',$116,Act fast:1 unit left!
,,Drive-Up Access,10' x 10',,
date,name,types,size,rate,special
08-30,St. Peters,,,,
,,Outside,10x8,75,50% Off First Three Month's
,,Outside,10x10,89,50% Off First Three Month's
,,Outside,10x12,95,50% Off First Three Month's
,,Outside,10x14,109,50% Off First Three Month's
,,Outside,10x16,129,50% Off First Three Month's
,,Outside,10x24,169,50% Off First Three Month's
date,name,types,size,rate,special
08-30,A Storage Inn Cave Springs,,,,
,,Outside,5 x 6,$36,"
$30WebSpecial
FirstSixMonths
"
,,Outside,6 x 12,$74,"
$47WebSpecial
FirstSixMonths
"
,,Outside,10 x 10,$106,"
$75WebSpecial
FirstSixMonths
"
,,Outside,10 x 12,$114,"
$89WebSpecial
FirstSixMonths
"
,,Outside,10 x 14,$115,"
$96WebSpecial
FirstSixMonths
"
,,Outside,10 x 16,$147,"
$105WebSpecial
FirstSixMonths
"
,,Outside,10 x 20,$196,"
$123WebSpecial
FirstSixMonths
"
,,Outside,10 x 25,$246,"
$150WebSpecial
FirstSixMonths
"
,,Outside,10 x 30,$53,"
"
,,Outside,10 x 30,none,"
$54WebSpecial
FirstSixMonths
"
