date,name,types,size,rate,special
09-10,Life Storage,,,,
,,Outside,5x10,39,incomplete
,,Outside,10x10,124,incomplete
,,Outside,10x15,179,incomplete
,,Outside,10x20,195,incomplete
,,Outside,10x25,205,incomplete
,,Outside,10x30,245,incomplete
date,name,types,size,rate,special
09-10,Life Storage,,,,
,,Outside,5x10,39,
,,Outside,10x10,124,Phone & online only
,,Outside,10x15,179,Please call - we'll check for you!
,,Outside,10x20,195,Please call - we'll check for you!
,,Outside,10x25,205,Please call - we'll check for you!
,,Outside,10x30,245,Please call - we'll check for you!
date,name,types,size,rate,special
09-10,Life Storage,,,,
,,Outside,5x10,39,
,,Outside,10x10,124,Phone & online only
,,Outside,10x15,179,Phone & online only
,,Outside,10x20,195,Please call - we'll check for you!
,,Outside,10x25,205,Please call - we'll check for you!
,,Outside,10x30,245,Please call - we'll check for you!
date,name,types,size,rate,special
09-10,Life Storage,,,,
,,Outside,5x10,39,
,,Outside,10x10,124,Phone & online only
,,Outside,10x15,179,Phone & online only
,,Outside,10x20,195,Please call - we'll check for you!
,,Outside,10x25,205,Please call - we'll check for you!
,,Outside,10x30,245,Please call - we'll check for you!
date,name,types,size,rate,special
09-11,Life Storage,,,,
,,Outside,5x10,39,INCOMPLETE
,,Outside,10x10,124,INCOMPLETE
,,Outside,10x15,179,INCOMPLETE
,,Outside,10x20,195,INCOMPLETE
,,Outside,10x25,205,INCOMPLETE
,,Outside,10x30,245,INCOMPLETE
date,name,types,size,rate,special
09-11,Life Storage,,,,
date,name,types,size,rate,special
09-11,Life Storage,,,,
date,name,types,size,rate,special
09-11,Life Storage,,,,
date,name,types,size,rate,special
09-11,Life Storage,,,,
,,Outside,5x10,39,INCOMPLETE
,,Outside,10x10,124,INCOMPLETE
,,Outside,10x15,179,INCOMPLETE
,,Outside,10x20,195,INCOMPLETE
,,Outside,10x25,205,INCOMPLETE
,,Outside,10x30,245,INCOMPLETE
date,name,types,size,rate,special
09-11,Life Storage,,,,
date,name,types,size,rate,special
09-20,Public Storage,,,,
,,Outside,10' x 10',$118/mo.,broken
,,Outside,10' x 15',$154/mo.,broken
,,Outside,10' x 20',$164/mo.,broken
,,Outside,10' x 30',$170/mo.,broken
